source_document_id,source_file_name,title,source_url,source_media_type,source_published,publishability_basis,source_sha256,source_bytes,extracted_character_count,chunk_count,extraction_method
python_gitignore,Python.gitignore,Python .gitignore template,https://github.com/github/gitignore/blob/57286c3887203259752b747db94e6c3ad10ec53d/Python.gitignore,text/plain; charset=utf-8,commit 57286c3887203259752b747db94e6c3ad10ec53d,"GitHub gitignore repository, dedicated under CC0-1.0.",b2580eab7825b9f22f790fb0edb7a6e239616e79907004adf36023c7ec4b9a4c,4657,4657,1,UTF-8 decode with Node.js standard library
node_gitignore,Node.gitignore,Node .gitignore template,https://github.com/github/gitignore/blob/57286c3887203259752b747db94e6c3ad10ec53d/Node.gitignore,text/plain; charset=utf-8,commit 57286c3887203259752b747db94e6c3ad10ec53d,"GitHub gitignore repository, dedicated under CC0-1.0.",ae3ac05cd16b0f6c4251fd30d74c12866d1ba6daa365aacc2e32ddfc09a478f6,2165,2165,1,UTF-8 decode with Node.js standard library
visualstudio_gitignore,VisualStudio.gitignore,Visual Studio .gitignore template,https://github.com/github/gitignore/blob/57286c3887203259752b747db94e6c3ad10ec53d/VisualStudio.gitignore,text/plain; charset=utf-8,commit 57286c3887203259752b747db94e6c3ad10ec53d,"GitHub gitignore repository, dedicated under CC0-1.0.",cbed134c8bc8b85079dd45fbeeab58a54b8b93746c7dabca21d512982320987d,7454,7454,2,UTF-8 decode with Node.js standard library
